YEAR,COUNTRY,EVENT_TYPE,SUB_EVENT_TYPE,CENTROID_LATITUDE,CENTROID_LONGITUDE,EVENTS,FATALITIES
2024,Bahrain,Protests,Peaceful protest,"26,2547","50,6428",37,0
2024,Bahrain,Protests,Protest with intervention,"25,9954","50,5421",2,0
2024,Bahrain,Protests,Protest with intervention,"26,1468","50,4809",7,0
2024,Bahrain,Protests,Protest with intervention,"26,1927","50,5508",8,0
2024,Bahrain,Riots,Mob violence,"25,9954","50,5421",3,0
2024,Bahrain,Riots,Mob violence,"26,1468","50,4809",2,0
2024,Bahrain,Riots,Violent demonstration,"25,9954","50,5421",14,0
2024,Bahrain,Riots,Violent demonstration,"26,1468","50,4809",71,0
2024,Bahrain,Riots,Violent demonstration,"26,1927","50,5508",70,0
2024,Bahrain,Riots,Violent demonstration,"26,2547","50,6428",3,0
2024,Bahrain,Strategic developments,Arrests,"26,1468","50,4809",1,0
2024,Bahrain,Strategic developments,Arrests,"26,1927","50,5508",1,0
2024,Bahrain,Strategic developments,Other,"25,9954","50,5421",3,0
2024,Bahrain,Strategic developments,Other,"26,1927","50,5508",3,0
2024,Bahrain,Violence against civilians,Attack,"25,9954","50,5421",3,0
2024,Iran,Battles,Armed clash,"28,2728","60,8613",54,126
2024,Iran,Battles,Armed clash,"29,2326","57,3392",1,2
2024,Iran,Battles,Armed clash,"32,8019","58,24",1,1
2024,Iran,Battles,Armed clash,"35,6014","47,0057",3,3
2024,Iran,Battles,Armed clash,"37,8742","44,7003",3,7
2024,Iran,Explosions/Remote violence,Air/drone strike,"28,2728","60,8613",4,26
2024,Iran,Explosions/Remote violence,Air/drone strike,"31,4636","48,9916",3,4
2024,Iran,Explosions/Remote violence,Air/drone strike,"32,6094","52,0477",1,0
2024,Iran,Explosions/Remote violence,Air/drone strike,"33,0433","46,8724",1,0
2024,Iran,Explosions/Remote violence,Air/drone strike,"34,8698","48,559",1,0
2024,Iran,Explosions/Remote violence,Air/drone strike,"35,5022","51,3269",7,1
2024,Iran,Explosions/Remote violence,Air/drone strike,"35,7868","54,9676",1,0
2024,Iran,Explosions/Remote violence,Air/drone strike,"35,9457","50,906",1,0
2024,Iran,Explosions/Remote violence,Remote explosive/landmine/IED,"28,2728","60,8613",15,25
2024,Iran,Explosions/Remote violence,Remote explosive/landmine/IED,"29,3576","53,3176",1,0
2024,Iran,Explosions/Remote violence,Remote explosive/landmine/IED,"31,979","50,8101",1,0
2024,Iran,Explosions/Remote violence,Remote explosive/landmine/IED,"35,5022","51,3269",1,2
2024,Iran,Explosions/Remote violence,Shelling/artillery/missile attack,"28,2728","60,8613",1,0
2024,Iran,Explosions/Remote violence,Shelling/artillery/missile attack,"35,6014","47,0057",3,0
2024,Iran,Explosions/Remote violence,Suicide bomb,"27,1422","55,0325",1,2
2024,Iran,Protests,Excessive force against protesters,"33,5164","48,3219",1,0
2024,Iran,Protests,Peaceful protest,"27,1422","55,0325",124,0
2024,Iran,Protests,Peaceful protest,"28,2728","60,8613",121,0
2024,Iran,Protests,Peaceful protest,"28,7846","51,5038",146,0
2024,Iran,Protests,Peaceful protest,"29,2326","57,3392",111,0
2024,Iran,Protests,Peaceful protest,"29,3576","53,3176",145,0
2024,Iran,Protests,Peaceful protest,"30,7032","51,0949",57,0
2024,Iran,Protests,Peaceful protest,"31,4636","48,9916",415,0
2024,Iran,Protests,Peaceful protest,"31,4825","54,4162",87,0
2024,Iran,Protests,Peaceful protest,"31,979","50,8101",50,0
2024,Iran,Protests,Peaceful protest,"32,6094","52,0477",227,0
2024,Iran,Protests,Peaceful protest,"32,8019","58,24",24,0
2024,Iran,Protests,Peaceful protest,"33,0433","46,8724",82,0
2024,Iran,Protests,Peaceful protest,"33,5164","48,3219",83,0
2024,Iran,Protests,Peaceful protest,"34,4772","49,5818",95,0
2024,Iran,Protests,Peaceful protest,"34,4871","46,8086",160,0
2024,Iran,Protests,Peaceful protest,"34,6674","51,002",37,0
